id	control2		Sailfish	Salmon	STAR
AT4G32040	29.48		34.386025	31.972714	15.756472
AT4G32050	5.48		6.33845	5.872091	0.032651
AT4G32060	166.61		192.7871	174.842378	82.521333
AT4G32070	12.37		17.13778	14.073344	80.983322
AT4G32080	0		0	0	0
AT4G32090	0		0	0	30.959883
AT4G32100	0		0	0	45.206104
AT4G32105	0		0	0	7.237342
AT4G32110	0		0	0	1.809664
AT4G32120	14.19		16.5451	15.475847	0
AT4G32130	33.54		41.2444	39.28327	0
AT4G32140	14.97		17.0095	15.581735	2.797735
AT4G32150	216.95		246.075	230.628232	0
AT4G32160	7.84		7.82225	7.184315	82.002366
AT4G32170	0		0	0	88.374524
AT4G32175	9.36		12.9339	12.438852	8.969151
AT4G32180	16.98		20.9716	19.294109	0
AT4G32190	16.03		18.4465	16.8446	19.622012
AT4G32200	0.45		0.863442	0.774618	57.806564
AT4G32208	0		12.2248	9.508657	45.281982
AT4G32210	3.89		98.1273	96.091063	1134.636545
AT4G32230	0		0	0	12.463074
AT4G32240	100.37		84.3942	81.117881	81.156774
AT4G32250	8.65		10.428051	9.637051	38.448049
AT4G32260	544.24		677.221	643.231706	24.541907
AT4G32270	27.73		38.5281	36.25402	267.132728
AT4G32272	5.81		7.84318	6.54772	13.938191
AT4G32280	19.48		24.51459	23.472084	0
AT4G32285	43.87		49.0168	45.191311	194.954344
AT4G32290	9.83		10.5024	9.790332	56.638025
AT4G32295	12.88		14.10836	13.353887	228.852393
AT4G32300	16.72		19.5594	17.866337	21.167562
AT4G32320	12.29		16.0041	15.189841	15.966887
AT4G32330	59.72		73.7788	67.20876	21.358306
AT4G32340	47.67		40.7579	38.320756	80.33083
AT4G32342	0		0.28496	0.287335	31.088599
AT4G32350	6.63		8.603479	7.214359	0
AT4G32360	7.98		12.80587	12.113824	3.974121
AT4G32370	0		0	0	10.004663
AT4G32375	0		0	0	1.251257
AT4G32380	1.23		1.35776	1.226231	16.181078
AT4G32390	41		51.9291	48.603967	13.711166
AT4G32400	17.38		17.5086	16.317933	0
AT4G32410	161.29		173.929	158.766729	5.063115
AT4G32420	16.98		23.21194	20.698686	405.656205
AT4G32430	1.4		1.67638	1.54615	0.751484
AT4G32440	18.21		33.03146	29.117877	24.964555
AT4G32450	1.53		2.69923	2.331566	14.753301
AT4G32460	66.53		101.24427	84.574952	25.867117
AT4G32470	106.36		143.9376	134.750835	12.052883
AT4G32480	46.61		53.7141	50.7486	162.870822
AT4G32490	0		0	0	0
AT4G32500	0		0	0	0
AT4G32510	0		0.026411	0.024332	5.53405
AT4G32520	23.46		28.77789	24.866026	33.189708
AT4G32530	90.99		117.4766	112.338513	55.922096
AT4G32535	0		3.46217	3.762299	83.175698
AT4G32540	1.26		1.49287	1.403422	0.573861
AT4G32551	23.24		27.6802	25.270508	166.093964
AT4G32560	12.83		27.58597	25.178911	0
AT4G32570	56.86		88.5787	78.094254	37.79138
AT4G32580	0		0	0	0
AT4G32590	53.94		92.308669	91.276743	1.969451
AT4G32600	24.11		27.5038	25.486156	18.157334
AT4G32605	13.21		17.4519	16.678231	9.095857
AT4G32610	24.75		29.5988	27.620202	32.439062
AT4G32620	8.72		11.50909	10.446998	4.57927
AT4G32630	0		0	0	29.265015
AT4G32640	16.07		19.449204	17.882679	37.022593
AT4G32650	2.03		2.542103	2.187979	668.051146
AT4G32660	22.94		31.48286	28.674327	22.379722
AT4G32670	7.26		8.74223	7.694813	0
AT4G32680	11.83		15.1359	14.371587	1.751378
AT4G32690	13.4		13.7392	13.086256	6.90539
AT4G32700	1.33		1.45917	1.327553	0
AT4G32710	9.29		8.47712	7.805476	28.291622
AT4G32714	0		0	0	0
AT4G32717	0		0	0	0
AT4G32720	21.44		26.0226	24.200321	0
AT4G32730	7.92		9.422441	8.934272	3.6559
AT4G32750	10.61		12.6521	11.855549	0
AT4G32760	41.61		50.48091	46.252856	0
AT4G32770	6.18		6.67159	6.199317	33.53113
AT4G32780	1.12		2.14179	2.008116	39.745156
AT4G32790	7.42		9.76241	9.05412	12.99303
AT4G32800	9.02		10.912	10.278784	69.434328
AT4G32810	0.59		0.693401	0.643635	61.872726
AT4G32820	5.14		5.91513	5.254728	8.167107
AT4G32830	11.66		11.5484	10.836375	0
AT4G32840	4.87		4.91776	4.561865	1.210143
AT4G32850	38.45		48.60704	42.146366	0
AT4G32860	2.91		3.38945	3.102062	30.755773
AT4G32870	2.91		3.88282	3.887988	65.84586
AT4G32880	13.88		15.6177	14.201644	79.919295
AT4G32890	10.27		11.6005	10.87324	39.51374
AT4G32900	22.9		36.74982	34.794572	62.57886
AT4G32910	13.18		15.6082	14.396567	33.992872
AT4G32915	33.98		46.8536	45.470067	0
AT4G32920	3.56		4.307717	3.692682	0
AT4G32930	47.57		70.9273	69.365824	0.325739
AT4G32940	202.11		217.454	199.878851	0.126105
AT4G32950	0.64		0.919633	0.865042	75.073875
AT4G32960	18.19		21.0591	20.043543	7.224711
AT4G32970	7.82		9.07974	8.398185	0
AT4G32980	19.22		22.16241	20.068215	6.672364
AT4G32990	6		7.71627	7.33475	210.199751
AT4G33000	124.96		180.9642	170.767286	24.008783
AT4G33010	109.8		124.253571	113.325353	42.113894
AT4G33020	0		0	0	22.732175
AT4G33030	18.6		21.7976	20.271084	0
AT4G33040	39.84		31.8243	29.950413	101.303634
AT4G33050	10.3		14.06188	12.970767	7.078416
AT4G33060	13.84		16.5816	15.423825	12.246407
AT4G33070	1.1		1.15864	1.072753	0.988719
AT4G33080	42.01		49.26412	44.934847	15.781165
AT4G33090	30.41		32.7314	29.992855	2.635236
AT4G33100	8.8		18.2513	16.403988	7.33347
AT4G33110	15.82		26.679	24.788101	4.428812
AT4G33120	0		0	0	190.842104
AT4G33130	2.49		3.50832	3.151515	29.573108
AT4G33140	5.9		7.13338	6.641758	0.957263
AT4G33145	0		0	0	19.818445
AT4G33150	27.45		56.6709	52.377336	0
AT4G33160	2.03		2.5894	2.419758	8.393781
AT4G33170	0.44		0.48319	0.444023	24.230103
AT4G33180	19.21		22.08494	20.746998	1.757154
AT4G33200	11.3		13.19891	12.031689	0
AT4G33210	22.7		25.3375	23.068721	2.203069
AT4G33220	95.8		103.625753	95.820228	0
AT4G33230	0		0	0	0
AT4G33240	9.83		11.572847	10.40814	0
AT4G33250	89.17		89.3356	83.683961	1.003344
AT4G33260	6.77		14.87961	13.446445	0
AT4G33270	10.01		16.4306	15.340494	0
AT4G33280	0		0.064148	0.060805	0
AT4G33290	0		0	0	0.170476
AT4G33300	25.86		31.87623	29.991071	0
AT4G33310	0		109.644	258.293429	9.957164
AT4G33320	0		0	0	0
AT4G33330	0		0	0	7.587613
AT4G33350	26.8		36.0249	30.563017	183.222968
AT4G33355	0		0	0	30.086058
